,Sentence
143,வவுனியாவில் உள்ள முகாமை அவர் செவ்வாய்க்கிழமை பார்வையிட்டார் .
144,"அங்குள்ள மக்களிடம் குறை , நிறைகளை கேட்டுத் தெரிந்து கொண்டார் ."
145,""" எங்களால் முடிந்தளவு உங்களுக்கு உதவ நாங்கள் தயாராக உள்ளோம் ; இயன்றவரை கண்டிப்பாகச் செய்வோம் என்று உள்ளூர் மக்கள் இடம்உம் அகதி முகாம்களில் உள்ள தமிழர்களிடம் அவர் உறுதி கூறினார் ."
146,கொழும்ப்இலிருந்து விமானம் மூலம் வன்னி ராணுவ தலைமையகத்துக்குச் சென்ற அவர் பின்னர் அங்கிருந்து கார் மூலம் வவுனியாவுக்கு அழைத்துச் செல்லப்பட்டார் .
147,செட்டிகுளத்தில் உள்ள முகாமை அவர் பார்வையிட்டார் .
148,வடக்கு ஓமந்தை என்ற இடத்தில் உள்ள விடுதலைப் புலிகளின் 3 பதுங்கு குழிகளை அவர் பார்த்தார் .
149,"வெடிக்காத கண்ணி வெடிகள் , வெடிகுண்டுகளை இலங்கை ராணுவ அதிகாரிகள் நிருபமாவ் இடம் அப்போது காண்பித்தனர் ."
150,பகுதியில் மறு குடியமர்வு செய்யப்பட்ட்உள்ள தமிழர்களைச் சந்தித்து அவர்களுக்கு விவசாய உபகரணங்களைய்உம் வீட்டு உபயோகப் பொருள்களைய்உம் அவர் வழங்கினார் .
151,பின்னர் வவுனியாவில் உள்ள அரசு பிரதிநிதிய் உடன் அவர் ஆலோசனை நடத்தினார் .
152,தமிழர்களை அவர்களது சொந்த இடங்களில் மறுபடியும் குடியமர்த்துவது குறித்த்உம் அகதி முகாம்களில் உள்ள தமிழர்களுக்க்உம் உள்ளூர் மக்களுக்க்உம் அடிப்படை வசதிகளை செய்து கொடுப்பது குறித்த்உம் அரசுப் பிரதிநிதிய் உடன் அவர் ஆலோசித்தார் .
153,அகதி முகாம்களில் சிரமப்படும் தமிழர்களுக்குத் தேவையானவற்றை இலங்கை அரசு செய்து தரும் என்று அவர் நம்பிக்கை தெரிவித்தார் .
154,அவருடன் இலங்கைக்க்ஆன இந்தியத் தூதர் அசோக் காந்தா துணைத் தூதர் விக்ரம் மிஸ்ரி மற்றும் இலங்கை அதிகாரிகள்உம் சென்றனர் .
155,பின்னர் விடுதலைப்புலிகளால் புதைத்து வைக்கப்பட்ட்இருந்த கண்ணி வெடிகளை அப்புறப்படுத்தும் பணிகளை அவர் பார்வையிட்டார் .
156,கண்ணி வெடிகளை அப்புறப்படுத்தும் பணியில் இந்தியாவைச் சேர்ந்த 7 குழுக்கள் பணியாற்றி வருகின்றன .
157,"கண்ணி வெடிகளை அப்புறப்படுத்திய பின்னரே தமிழர்களை மறுபடியும் குடியமர்த்த முடியும் என்று கூறி , கண்ணி வெடிகளை அப்புறப்படுத்தி வருகிறது இலங்கை அரசு ."
158,"நிருபமா கொழும்பு செல்வதற்கு முன் , வடக்குப் பகுதியில் முல்லைத் தீவுக்க்உம் கிழக்குப் பகுதியில் திரிகோணமலைக்க்உம் புதன்கிழமை செல்கிறார் ."
159,கொழும்பு திரும்பியவ்உடன் புதன்கிழமை மாலை தமிழ் எம்.பி.க்கள் மற்றும் தமிழர் கட்சித் தலைவர்கள்உடன் அவர் ஆலோசனை செய்வார் என்று தெரிகிறது .
160,ராஜபட்சவ்உடன் சந்திப்பு : .
161,வியாழக்கிழமை இலங்கை அதிபர் ராஜபட்ச மற்றும் வெளியுறவு அமைச்சர் ஜி.எல். பெரிஸ்ûஸ சந்திக்கிறார் .
162,தமிழர்களுக்க்ஆன நிவாரணப் பணிகள் மற்றும் மறு குடியமர்வுக்க்ஆக இந்தியா ஏற்கெனவே | 500 கோடி நிதியுதவி அறிவித்த்உள்ளது .
163,இதுதவிர தமிழக அரசு சேகரித்த 2.5 லட்சம் குடும்ப நிவாரண பாக்கெட்டுகளைய்உம் இந்தியா வழங்கி உள்ளது .
164,"இதுதவிர கூடாரங்கள் , விவசாய உபகரணங்கள் உள்ளிட்ட 2500 மெட்ரிக் டன் நிவாரணப் பொருள்கள்உம் ஏற்கெனவே வழங்கப்பட்ட்உள்ளன ."
165,வடக்கு மற்றும் கிழக்குப் பகுதிகளுக்க்ஆக 55 பேருந்துகளை இந்தியா வழங்கிய்உள்ளது .
166,சமீபத்தில் 4 லட்சம் சிமென்ட் மூட்டைகளைய்உம் இந்தியா வழங்கியது .
167,தமிழர்களின் சேதமடைந்த வீடுகளை பழுதுபார்க்க இந்த சிமென்ட் மூட்டைகள் வழங்கப்பட்ட்உள்ளன .
168,மேலும் வடக்கு மற்றும் கிழக்குப் பகுதியில் தமிழர்களுக்க்ஆக 50 ஆயிரம் வீடுகளை கட்டிக் கொடுப்பத்ஆகவ்உம் இந்தியா அறிவித்த்உள்ளது .
169,"இதுதவிர , வட கிழக்குப் பகுதியில் பல்வேறு வளர்ச்சித் திட்டங்களை இந்தியா நிறைவேற்றி வருகிறது ."
170,"ரயில் பாதை அமைப்பது , துறைமுகம் , கலாசார மையங்கள் , விளையாட்டு அரங்குகள் ஆகியவற்றைக் கட்டும் பணிகளில் இந்தியா ஈடுபட்ட்உள்ளது ."
171,அமெரிக்காவுக்குச் சென்ற பாகிஸ்தான் ராணுவ அதிகாரிகள் குழுவினரை விமானத்த்இலிருந்து இறக்கி அமெரிக்க அதிகாரிகள் கடுமையான முறையில் விசாரணை மேற்கொண்டத்ஆக செய்திகள் வெளியாகிய் உள்ளன .
172,அமெரிக்காவில் நடைபெறும் ராணுவ மாநாடு ஒன்றில் கலந்து கொள்வதற்க்ஆக பாகிஸ்தானைச் சேர்ந்த 9 ராணுவ உயர் அதிகாரிகள் அந்நாட்டுக்குச் சென்ற்இருக்கினறனர் .
173,நேற்று காலை வாஷிங்டனில் இருந்து மாநாடு நடைபெறும் தம்பா நகருக்கு அமெரிக்க ஏர்வேஸ் விமானத்தில் செல்லத் தயாராகினர் .
174,விமானம் புறப்படத் தயாரான போது அவர்களை விமானத்த்இலிருந்து கீழே இறக்கி அமெரிக்க அதிகாரிகள் விசாரணை நடத்தியத்ஆகத் தெரிகிறது .
175,இந்தத் தகவலை வாஷிடங்டன் போஸ்ட் பத்திரிகை வெளியிட்ட்இருக்கிறது .
176,விமான ஊழியர் இடம் ராணுவ அதிகாரிகள்உள் ஒருவர் சர்ச்சைக்குரிய கருத்தைத் தெரிவித்ததற்க்ஆகவ்ஏ அவர்கள் அனைவரும் இறக்கி விடப் பட்டத் ஆகக் கூறப் படுகிறது .
177,எனினும் இது குறித்த முழு விவரம்உம் அந்தப் பத்திரிகை செய்தியில் வெளியிடப்படவ்இல்லை .
178,"கிட்டத்தட்ட இரண்டரை மணி நேரம் அந்த ராணுவ அதிகாரிகள் அனைவரும் அமெரிக்க அதிகாரிகளின் கட்டுப்பாட்டில் வைக்கப்பட்ட்இருந்தத்ஆகவ்உம் , தூதரகத்த்உடன்ஓ , அமெரிக்க ராணுவ அதிகாரிகள்உடன்ஓ பேசுவதற்கு அவர்களுக்கு அனுமதி வழங்கப்படவ்இல்லை எனவ்உம் அந்தச் செய்தி கூறுகிறது ."
179,அவர்களால் எந்த அச்சுறுத்தல்உம் இல்லை என்கிற முடிவுக்கு வந்த பிறகே அவர்களை அமெரிக்க அதிகாரிகள் விடுவித்தத்ஆகவ்உம் தெரிகிறது .
180,"இந்தச் சம்பவத்தைய்அடுத்து , பயணத்தை ரத்து செய்து விட்டு , நாடு திரும்பும் படி அவர்களுக்கு பாகிஸ்தான் ராணுவம் உத்தரவிட்ட்இருக்கிறது ."
181,அவர்கள் இன்று பாகிஸ்தான் திரும்புவார்கள் எனத் தெரிகிறது .
182,ஜார்க்கண்டின் தும்கா மாவட்டத்தில் மாவோயிஸ்டுகள்உடன் நிகழ்ந்த கடும் துப்பாக்கிச்சண்டையில் போலீஸ் அதிகாரி ஒருவர் உயிரிழந்தார் .
183,இரு போலீசார் காயமடைந்தனர் .
184,ஜாமா வனப்பகுதிகளில் இன்று அதிகாலை நிகழ்ந்த இந்த துப்பாக்கிச்சண்டையில் தலையில் குண்டு பாய்ந்த ஜாமா போலீஸ் நிலைய அதிகாரி சதானந்த் சிங் சம்பவ இடத்தில்ஏயே உயிரிழந்தத்ஆக துணை போலீஸ் ஐஜி பி.கே.பாண்டே தெரிவித்தார் .
185,சிறப்பு அதிரடிப்படையைச் சேர்ந்த கான்ஸ்டபிள் ரவிசங்கர் உள்ளிட்ட இருவர் இந்த துப்பாக்கிச்சண்டையில் காயமடைந்தனர் .
186,இதையடுத்து ராஞ்சியில் இருந்து உயர் போலீஸ் அதிகாரிகள் தும்காவுக்கு விரைந்து சென்று விசாரணை நடத்தினர் .
187,விநாயகர் சதுர்த்தி பண்டிகை கொண்டாடும் மக்களுக்கு அதிமுக பொதுச்செயலர் ஜெயலலிதா வாழ்த்து தெரிவித்த்உள்ளார் .
188,"ரம்ஜானை முன்னிட்டு நல்லெண்ண நடவடிக்கைய்ஆக , பாகிஸ்தான் நாட்டைச் சேர்ந்த 85 கைதிகள் விடுதலை செய்யப்படுவத்ஆக இந்தியா இன்று அறிவித்தது ."
189,இந்தியாவில் பல்வேறு சிறைகளில் அடைக்கப்பட்ட்உள்ள அவர்களில் பெரும்பாலானவர்கள் மீனவர்கள் ஆவர் .
190,குஜராத் சிறைகளில் அடைக்கப்பட்ட்இருந்த 58 மீனவர்களை விடுதலை செய்ய செப்டம்பர் 9ம் தேதி உத்தரவு பிறப்பிக்கப்பட்ட்இருப்பத்ஆக மத்திய உள்துறை அமைச்சகம் வெளியிட்ட்உள்ள செய்திக்குறிப்பில் தெரிவிக்கப்பட்ட்உள்ளது .
191,"அவர்கள்உடன் , பஞ்சாப் மற்றும் ஜம்மு-காஷ்மீர் சிறைகளில் இருந்து தலா 7 பேர்உம் , ராஜஸ்தான் சிறையில் இருந்து ஒருவர்உம் , தில்லி சிறையில் இருந்து 2 பேர்உம் விடுவிக்கப் படுகின்றனர் ."
192,மொத்தம் 85 பேர் விடுதலைசெய்யப்படஉள்ளத்ஆக உள்துறை அமைச்சகம் தெரிவித்த்உள்ளது .
193,"இந்த ஆண்டு இதுவரை 128 கைதிகள் விடுவிக்கப்பட்டு , அட்டாரி வழியாக பாகிஸ்தானுக்கு அனுப்பப்பட்ட்உள்ளனர் ."
194,தற்போது புதிதாக 85 பேர் விடுவிக்கப்படஉள்ளதைய்அடுத்து இந்த ஆண்டு மொத்தம் 213 கைதிகளை இந்தியா விடுதலை செய்த்உள்ளது குறிப்பிடத் தக்கது .
195,அல்கொய்தா தீவிரவாத இயக்கத்தின் தலைவர் ஒசாமா பின் லேடனை பிடிப்பது அமெரிக்காவுக்கு முக்கியம் என்று அந்நாட்டின் அதிபர் ஒபாமா கூறிய்உள்ளார் .
196,வெள்ளை மாளிகையில் நடைபெற்ற செய்தியாளர் சந்திப்பில் அவர் இவ்வாறு தெரிவித்தார் .
197,""" பின் லேடன் உயிருடன் பிடிபட வேண்டும் அல்லது கொல்லப்பட வேண்டும் ."
198,அமெரிக்காவின் பாதுகாப்புக்கு இது முக்கியம் என்பதால் அதற்கான பணிகள் தொடர்ந்து நடைபெறும் .
199,இதற்காக நாட்டின் மிகச் சிறந்த அதிகாரிகள்உம் வீரர்கள்உம் இரவ்உம் பகல்உம் பாடுபட்டு வருகின்றனர் .
200,அல்கொய்தா இயக்கம் உலகத்துக்கு இன்னும் மிகப் பெரும் அச்சுறுத்தல்ஆகவ்ஏ உள்ளது என்ற்உம் ஒபாமா கூறிய்உள்ளார் .
201,மத்திய மனிதவள மேம்பாட்டுத்துறை அமைச்சர் கபில் சிபல் உயர்கல்வியில் கூடுதல் கவனம் செலுத்துவதை விட்டு பள்ளிக் கல்வி வளர்ச்சி மீது கவனம் செலுத்த வேண்டும் என்று காங்கிரஸ் கட்சியின் மூத்த தலைவர் திக்விஜய் சிங் கருத்து தெரிவித்த்உள்ளார் .
202,"ஐஐடியில் மருத்துவப் படிப்புகள் , வெளிநாட்டு பேராசிரியர்கள் மற்றும் மாணவர்கள் , புதிய நுழைவுத் தேர்வு முறைகள் ஆகியவைகுறித்து ஆலோசிக்கப்படுவத்ஆக நேற்று அமைச்சர் கபில் சிபல் கூறிய் இருந்தார் ."
203,"இந்நிலையில் , ஆளுங்கட்சியின் மூத்த தலைவர்உம் மத்தியப் பிரதேசத்தின் முன்னாள் முதல்வர்உம்ஆன திக்விஜய் சிங் , பள்ளிக் கல்வி மீது கவனம் செலுத்தப்படவேண்டும் என்று கபில் சிபலுக்கு அறிவுறுத்திய் இருப்பது பரபரப்பை ஏற்படுத்திய்உள்ளது ."
204,"இவர் ஏற்கெனவே , உள்துறை அமைச்சர் சிதம்பரத்தின் மாவோயிஸ்ட் எதிர்ப்புக் கொள்கைகள்குறித்து விமர்சித்த்இருந்தார் என்பது குறிப்பிடத் தக்கது ."
205,குஜராத் உள்ளாட்சித் தேர்தலில் பெரும்பான்மையான இடங்களில் பாஜக வெற்றி பெற்றுள்ளது .
206,"ஆமதாபாத் , ராஜ்கோட் , சூரத் , வதேதரா , ஜாம்நகர் , பாவ்நகர் ஆகிய 6 நகரங்களில் மொத்தம் உள்ள 555 உள்ளாட்சி இடங்களில் 444-ல் பாஜக வெற்றி பெற்றுள்ளது ."
207,சோராபுதீன் போலி என்கவுன்ட்டர் வழக்கில் உள்துறை அமைச்சர்ஆக இருந்த அமித் ஷா சிபிஐ போலீஸாரால் கைது செய்யப்பட்ட விவகாரம் தேர்தல் பிரசாரத்தில் முக்கிய இடத்தைப் பெற்ற் இருந்தது .
208,"இதுகுறித்து இன்று பொதுக்கூட்டங்களில் பேசிய முதல்வர் நரேந்திர மோடி , "" காங்கிரஸ் - சிபிஐ புலனாய்வு அமைப்பின் கூட்டணியை மக்கள் நிராகரித்து விட்டனர் "" என்று குறிப்பிட்டார் ."
209,"குஜராத் உள்ளாட்சித் தேர்தலில் , 80 லட்சத்துக்க்உம் மேற்பட்ட வாக்காளர்களில் 45 சதவீதம் பேர் தங்கள் வாக்குகளை பதிவு செய்திருந்தனர் ."
210,"தில்லி காமன்வெல்த் போட்டியில் , 10 மீட்டர் கைத்துப்பாக்கிச் சுடுதல் பெண்களுக்க்ஆன இரட்டையர் பிரிவில் ஹீனா சித்து - அன்னு ராஜ் ஜேடி தங்கப் பதக்கம் வென்றது ."
211,"இதையடுத்து , இந்தியா வென்ற தங்கப் பதக்கங்களின் எண்ணிக்கை 31ஆக உயர்ந்த்உள்ளது ."
212,"இந்நிலையில் , சம்ரேஷ் ஜங் - சந்திரசேகர் குமார் செளத்ரி ஜோடி 25 மீட்டர் கைத்துப்பாக்கிச் சுடுதலில் வெள்ளிப் பதக்கம் வென்றனர் ."
213,"இதுபோல் , பெண்களுக்க்ஆன 50 மீட்டர் துப்பாக்கிச்சுடுதலில் தேஜஸ்வினி சாவந்த் வெள்ளிப் பதக்கம் வென்ற்உள்ளார் ."
214,சாகும் வரை சிறையில் அடைத்து வைத்த்இருந்தால்உம் செய்யாத குற்றத்துக்க்ஆக மன்னிப்பு கேட்க மாட்டேன் என்று இலங்கை ராணுவத்தின் முன்னாள் தளபதி சரத் பொன்சேகா கூறிய்உள்ளத்ஆக தகவல்கள் வெளியாகிய் உள்ளன .
215,போரின்போது சரணடைய வந்த விடுதலைப் புலிகளின் தலைவர்கள் சுட்டுக் கொல்லப்பட்டது தொடர்பான விசாரணை கொழும்பு நீதிமன்றத்தில் நடைபெற்று வருகிறது .
216,"இதில் , ஆஜர்ஆக வந்த போது , பொன்சேகா மேற்கண்ட தகவலை கூறியத்ஆக இலங்கைத் தமிழ் இணையதளங்களில் செய்தி வெளியாகிய்உள்ளது ."
217,""" நீங்கள் யாரும் கவலைப்படாதீர்கள் ."
218,அச்சப்பட வேண்டாம் .
219,நான் குற்றம் அற்றவன் என்ற வகையில் தைரியத்த்உடன் உள்ளேன் .
220,"எனவே , நீங்கள்உம் தைரியமாக இருங்கள் ."
221,எனக்கு ஆயுள் தண்டனை விதித்தால்உம் அல்லது சாகும் வரை சிறையில்ஏயே அடைத்து வைத்தால்உம் செய்யாத குற்றத்துக்க்ஆக யார் இடம்உம் மன்னிப்பு கேட்க மாட்டேன் .
222,""" என்று நீதிமன்றத்தில் கூடிய்இருந்த தனது ஆதரவாளர்கள் இடையே பொன்சேகா கூறியத்ஆக அந்த இணையதளச் செய்தியில் தெரிவிக்கப்பட்ட்உள்ளது ."
223,தில்லி காமன்வெல்த் போட்டியின் நிறைவு விழாவை புறக்கணிப்பத்ஆக விடுதலைச் சிறுத்தைகள் கட்சித் தலைவர் திருமாவளவன் அறிவித்த்உள்ளார் .
224,இதுகுறித்து அவர் இன்று வெளியிட்ட்உள்ள அறிக்கையில் கூறிய்இருப்பத்ஆவது : .
225,தில்லி காமென்வெல்த் விளையாட்டுப் போட்டி நிறைவு விழாவில் சிறப்பு விருந்தினர்ஆக ராஜபட்சவை மத்திய அரசு அழைத்த் இருப்பத்ஆக வெளியாகிய்உள்ள தகவல் பெரும் அதிர்ச்சியைய்உம் வேதனையைய்உம் அளிக்கிறது .
226,ஈழத் தமிழர்களை ஈவிரக்கம் இன்றி லட்சக் கணக்கில் கொன்றுகு வித்த ராஜபட்சவை தில்லிக்கு அழைத்துச் சிறப்பிக்க விரும்பும் மத்திய அரசின் அணுகுமுறைய் ஆனது சுமார் 10 கோடிக்க்உம் மேலான ஒட்டுமொத்தத் தமிழினத்தையும் கேவலப்படுத்துவத்ஆக அமைந்த்உள்ளது .
227,அத்துடன் பிறர் துன்பத்தில் இன்பம் காணும் கொடூர வன்மம் நிறைந்த வக்கிரபுத்தியை இதன்மூலம் மத்திய அரசு வெளிப்படுத்திய்உள்ளது .
228,"ராஜபட்சவ்உம் சிங்கள அரச்உம் போர் மரபுகளை மீறி மனிதநேயம் அற்ற முறையில் போர்க் குற்றம் இழைத்த்உள்ளனர் என்று ஜனநாயகத்தின் மீது நம்பிக்கை உள்ள சர்வதேச நாடுகள் கண்டித்து வருகிற நிலையில் , மத்திய அரசு அதற்கு நேர்மாறாக ஒரு போர்க் குற்றவாளிக்கு சிவப்புக் கம்பளம் விரிப்பது அத்தகைய போர்க் குற்றத்தில் மத்திய அரசின் பங்களிப்பு எத்தகையது என்பதை உறுதிப்படுத்துவத்ஆக உள்ளது ."
229,மத்திய அரசின் இந்தப் போக்கை விடுதலைச் சிறுத்தைகள் கட்சி வன்மையாகக் கண்டிக்கிறது .
230,ராஜபட்சவை அழைக்கும் முடிவை உடனடியாகக் கைவிட வேண்டும் என்ற்உம் தமிழினத்தின் சார்பில் வற்புறுத்துகிறோம் .
231,நாடாளுமன்ற உறுப்பினர் என்கிற முறையில் நிறைவு விழாவில் பங்கேற்பதற்கு எனக்க்உம் அழைப்பு வந்த்உள்ளது .
232,ஆனால் மத்திய அரசின் தமிழின விரோதப் போக்கைக் கண்டிக்கும் வகையில் அவ்விழாவை நான் புறக்கணிக்கிறேன் .
233,தமிழகத்தைச் சேர்ந்த நாடாளுமன்ற உறுப்பினர்கள் மற்றும் அமைச்சர்கள் அனைவரும் தமிழின ஒற்றுமையை வெளிப்படுத்தும் வகையில் அவ்விழாவைப் புறக்கணிக்க வேண்டும் ஆறு கேட்டுக்கொள்கிறேன் .
234,இவ்வாறு திருமாவளவன் தனது அறிக்கையில் தெரிவித்த்உள்ளார் .
235,கர்நாடக மாநிலத்தில் குடியரசுத் தலைவர் ஆட்சியை அமல்படுத்த வேண்டும் என்று திராவிடர் கழகத் தலைவர் கி. வீரமணி கூறிய்உள்ளார் .
236,இதுகுறித்து அவர் இன்று வெளியிட்ட்உள்ள அறிக்கையில் கூறியிருப்பத்ஆவது : .
237,"எடியூரப்பா அரசை பெரும்பான்மையை நிரூபிக்க ஆளுநர் உத்தரவிட்ட நிலையில் , 5 சுயேட்சை எமெலேக்கள் உட்பட 16 எமெலேக்களை தகுதி நீக்கம் செய்த்உள்ளனர் ."
238,கட்சித் தாவல் சட்டம் சுயேட்சை எமெலேக்களை கட்டுப்படுத்தாது .
239,"மேலும் , கட்சி கொறடாவின் உத்தரவை மீறி 11 பாஜக எமெலேக்கள் வாக்களித்த பின்னர் தான் அவர்களை தகுதி நீக்கம் செய்ய முடியும் ."
240,குரல் வாக்கெடுப்பு மூலம் ஒரு வாக்கு கூடுதலாக பெற்று எடியூரப்பா அரசு வெற்றி பெற்றுவிட்டத்ஆக அறிவித்தது சட்ட விரோதம்ஆன செயல் .
241,"சட்டப்பேரவையில் நடைபெற்ற அமளி , அடிதடி , கூச்சல் , குழப்பம் நாட்டின் ஜனநாயகத்திற்க்ஏ மிகப்பெரிய களங்கத்தை உண்டாக்கிய தேசிய அவமானம் ஆகும் ."
242,"எனவே , உடனடியாக எடியூரப்பா அரசை நீக்கி விட்டு அங்கு குடியரசுத் தலைவர் ஆட்சியை அமல்படுத்த வேண்டும் ."
243,இவ்வாறு கி. வீரமணி தனது அறிக்கையில் தெரிவித்த்உள்ளார் .
244,மணலி பெட்ரோ கெமிக்கல்ஸ் நிறுவனத்தின் நச்சுத்தன்மை கொண்ட கழிவு நீரை கடலில் கலக்க அனுமதித்த்இருக்கும் தமிழக அரசைக் கண்டித்து நாளை மறுநாள் திருவொற்றியூரில் அதிமுக சார்பில் ஆர்ப்பாட்டம் நடைபெறும் என்று அக்கட்சியின் பொதுச்செயலர் ஜெயலலிதா அறிவித்த்உள்ளார் .
245,இதுகுறித்து அவர் இன்று வெளியிட்ட்உள்ள அறிக்கையில் கூறியிருப்பத் இருப்பத்ஆவது : .
246,"சென்னை , திருவொற்றியூர் பகுதியில் வாழும் மீனவ மக்களுக்கு ஆபத்து ஏற்பட்ட்உள்ளது ."
247,"சென்னையை ஒட்டிய்உள்ள , திருவொற்றியூர் , எண்ணூர் பகுதிகளில் 60 ஆயிரத்திற்க்உம் மேற்பட்ட மீனவ மக்கள் மீன்பிடித் தொழிலை நம்பி வாழ்ந்து வருகின்றனர் ."
248,"தி.மு.க. அரசின் துணையோடு , மணலி பெட்ரோ கெமிக்கல்ஸ் லிமிடெட் ஆலைய்இலிருந்து வெளியேற்றப்படும் நச்சுத் தன்மை கொண்ட ரசாயனம் கலந்த கழிவு நீரை குழாய் மூலம் கொண்டு வந்து கடலில் கலப்பதற்க்ஆன வேலைகள் மும்முரமாக நடந்து வருகின்றன என்ற்உம் , இதற்காக மிகப் பெரிய தொகை அமைச்சர் கே.பி.பி. சாமியிடம் கொடுக்கப்பட்டு விட்டத்ஆகவ்உம் அப்பகுதி மக்கள் தெரிவிக்கின்றனர் ."
249,"மேற்படி ஆலையின் நச்சுத் தன்மை கொண்ட நீர் கடலில் கலந்தால் மீன் உற்பத்தி பெரிதும் பாதிக்க ப்படும் என்ற்உம் , மீன்கள் செத்து மடிகின்ற சூழ்நிலை உருவாகும் என்ற்உம் , மீன்பிடி தொழில் முற்றிலுமாக தடைபட்டு , மீனவர்களின் வாழ்வாதாரம் பாதிக்க ப்படும் என்ற்உம் அப்பகுதி மக்கள் தெரிவிக்கின்றனர் ."
250,"மீனவ விரோதச் செயலுக்குத் துணை போகும் அமைச்சர் கே.பி.பி. சாமிக்கும் , இதைத் தடுத்து நிறுத்த நடவடிக்கை எடுக்காத முதல்வர் கருணாநிதிக்கும் கண்டனத்தைத் தெரிவித்துக் கொள்கிறேன் ."
251,"மணலி பெட்ரோ கெமிக்கல்ஸ் நிறுவனத்தின் நச்சுத் தன்மை கொண்ட கழிவுநீரை கடலில் கலக்க அனுமதித்த்இருக்கும் தி.மு.க. அரசைக் கண்டித்த்உம் , உடனடியாக இதை தடுத்து நிறுத்த வலியுறுத்திய்உம் , திருவள்ளூர் மாவட்டம் , திருவொற்றியூர் நகர அதிமுக சார்பில் , 14.10.2010 வியாழக் கிழமை காலை 10 மணி அளவில் , திருவொற்றியூர் நகராட்சி அலுவலகம் எதிரில் அதிமுக இலக்கிய அணித் தலைவர் பழ. கருப்பையா தலைமையில் கண்டன ஆர்ப்பாட்டம் நடைபெறும் ."
252,இவ்வாறு ஜெயலலிதா தனது அறிக்கையில் தெரிவித்த்உள்ளார் .
253,ஆப்கானிஸ்தானில் தீவிரவாதிகளின் செயல்களால் பொதுமக்கள் 10 பேர் உயிரிழந்தனர் .
254,"பக்டிகா மாகாணத்தில் உள்ள ஜானி கேல் மாவட்டத்தில் , பொதுமக்கள் பயணம் செய்த வாகனம் ஒன்றை தீவிரவாதிகள் வீசிய ராக்கெட் தாக்கியது ."
255,"இதில் , பயணம் செய்தவர்களில் 6 பேர் உயிரிழந்தனர் ."
256,ஜபூல் மாகாணத்தில் ஷாஜோய் மாவட்டத்தில் பொதுமக்கள் பயணம் செய்த ஜீப் ஒன்று சாலையோரத்தில் கிடந்த வெடிகுண்டு மீது ஏறியது .
257,"இதில் , அந்த குண்டு வெடித்ததில் சம்பவ இடத்தில்ஏயே 4 பேர் உயிரிழந்தனர் ."
258,சாலையில் கிடக்கும் குண்டுகள் மற்றும் வன்முறைக்கு பொதுமக்கள் பலியாகும் சம்பவங்கள் ஆப்கனில் நாள்தோறும் நடைபெற்று வருகின்றன .
259,"ஆப்கனில் , 2010 ஜனவரி முதல் ஜூன் மாதம் வரை மட்டும் சுமார் 1200க்க்உம் மேற்பட்ட பொதுமக்கள் உயிரிழந்த்உள்ளனர் ."
260,2000 பேர் காயமடைந்த்உள்ளனர் என்று ஐநா அறிக்கை தெரிவித்த்உள்ளது .
261,உக்ரைன் நாட்டில் பஸ் ஒன்றின் மீது ரயில் மோதியதில் 37 பேர் உயிரிழந்தனர் .
262,இன்று காலை டிநிபெட்ரோவிஸ்க் மாகாணத்தில் உள்ள மார்ஹனெட்ஸ் நகரில் இச்சம்பவம் நிகழ்ந்தது .
263,அங்குள்ள ரயில்வே கேட் தானியங்கி முறையில் செயல்படக் கூடியது .
264,"முன்னதாக , ரயில்வே கேட் மூடுவதற்க்ஆக கீழே இறங்கிக் கொண்ட்இருந்தது ."
265,"மேலும் , ரயில் வருவதற்க்ஆன எச்சரிக்கை ஒலிய்உம் ஒலித்துக் கொண்ட்இருந்தது ."
266,"ஆனால் , இவற்றை கண்டுகொள்ளாமல் ஓட்டுநர் பஸ்சை ரயில் பாதையை கடந்து ஓட்டிச் செல்ல முயன்றார் ."
267,"அப்போது , பயங்கர வேகத்தில் வந்த ரயில் பஸ் மீது பலமாக மோதியது ."
268,"இதில் , சம்பவ இடத்தில்ஏயே 37 பேர் உயிரிழந்தனர் ."
269,இந்த விபத்தில் 12 பேர் காயமடைந்தனர் .
270,அவர்கள் உடனடியாக அருகில் உள்ள மருத்துவமனையில் அனுமதிக்கப் பட்டனர் .
271,"இதில் , சிலரின் நிலை கவலைக்கிடம்ஆக உள்ளது ."
272,இத்தகவலை உக்ரைன் உள்துறை அமைச்சர் யெவ்ஹெனி கிரேவட்ஸ் செய்தியாளர்களிடம் தெரிவித்தார் .
273,இந்த விபத்தில் உயிரிழந்தவர்கள் அனைவரும் உள்ளூர் தொழிற்சாலை ஒன்றின் பணியாளர்கள் .
274,முதல்வர் கருணாநிதிக்கு கொலை மிரட்டல் விடுத்து இ-மெயில் அனுப்பப்பட்டது தொடர்பாக சென்னை மாநகர மத்தியக் குற்றப் பிரிவு போலீஸார் விசாரணை மேற்கொண்டு வருகின்றனர் .
275,"அதிமுக பொதுச் செயலாளர் ஜெயலலிதா , மதுரையில் அக்டோபர் 18-ல் நடைபெறும் கட்சி மாநாட்டில் கலந்து கொள்வதைய்ஒட்டி அவருக்கு கடந்த ஒரு மாதத்தில் 10-க்க்உம் மேற்பட்ட கொலை மிரட்டல் கடிதங்கள் அனுப்பப் பட்டன ."
276,இதுகுறித்து சிபிஐ விசாரணைக்கு உத்தரவிடப்பட்ட்உள்ளது .
